Number	Header	Position	Time	Altitude	Leg Length	Leg Time	Leg Speed	Leg Course
52	Trackpoint	N6 15.698 W75 34.459	29/04/2024 12:33	1471	11	0:00:01	41 kph	141° true
53	Trackpoint	N6 15.693 W75 34.456	29/04/2024 12:33	1472	12	0:00:01	42 kph	144° true
54	Trackpoint	N6 15.687 W75 34.452	29/04/2024 12:33	1472	12	0:00:01	43 kph	145° true
55	Trackpoint	N6 15.682 W75 34.448	29/04/2024 12:33	1472	12	0:00:01	44 kph	142° true
56	Trackpoint	N6 15.677 W75 34.444	29/04/2024 12:33	1473	12	0:00:01	43 kph	143° true
57	Trackpoint	N6 15.672 W75 34.440	29/04/2024 12:33	1473	12	0:00:01	43 kph	142° true
58	Trackpoint	N6 15.667 W75 34.436	29/04/2024 12:33	1473	12	0:00:01	45 kph	142° true
59	Trackpoint	N6 15.661 W75 34.432	29/04/2024 12:33	1474	13	0:00:01	46 kph	143° true
60	Trackpoint	N6 15.656 W75 34.428	29/04/2024 12:33	1474	13	0:00:01	46 kph	143° true
61	Trackpoint	N6 15.650 W75 34.423	29/04/2024 12:33	1474	13	0:00:01	46 kph	142° true
62	Trackpoint	N6 15.645 W75 34.419	29/04/2024 12:33	1474	13	0:00:01	48 kph	142° true
63	Trackpoint	N6 15.639 W75 34.415	29/04/2024 12:33	1474	13	0:00:01	48 kph	142° true
64	Trackpoint	N6 15.633 W75 34.411	29/04/2024 12:33	1474	13	0:00:01	48 kph	145° true
65	Trackpoint	N6 15.627 W75 34.406	29/04/2024 12:33	1474	13	0:00:01	47 kph	144° true
66	Trackpoint	N6 15.622 W75 34.402	29/04/2024 12:33	1474	13	0:00:01	47 kph	144° true
67	Trackpoint	N6 15.616 W75 34.398	29/04/2024 12:33	1474	13	0:00:01	46 kph	144° true
68	Trackpoint	N6 15.611 W75 34.394	29/04/2024 12:33	1475	13	0:00:01	46 kph	145° true
69	Trackpoint	N6 15.605 W75 34.390	29/04/2024 12:33	1475	12	0:00:01	45 kph	144° true
70	Trackpoint	N6 15.600 W75 34.386	29/04/2024 12:33	1475	12	0:00:01	45 kph	146° true
71	Trackpoint	N6 15.595 W75 34.382	29/04/2024 12:33	1475	12	0:00:01	43 kph	143° true
72	Trackpoint	N6 15.589 W75 34.379	29/04/2024 12:33	1475	12	0:00:01	44 kph	147° true
73	Trackpoint	N6 15.584 W75 34.375	29/04/2024 12:33	1475	12	0:00:01	45 kph	141° true
74	Trackpoint	N6 15.578 W75 34.371	29/04/2024 12:33	1474	13	0:00:01	45 kph	149° true
75	Trackpoint	N6 15.572 W75 34.367	29/04/2024 12:33	1474	13	0:00:01	45 kph	145° true
76	Trackpoint	N6 15.567 W75 34.363	29/04/2024 12:33	1473	12	0:00:01	45 kph	144° true
