Grid	Lat/Long hddd°mm.mmm'
Datum	WGS 84

Header	Name	Start Time	Elapsed Time	Length	Average Speed	Link

Track	Bicicleta eléctrica a la hora del almuerzo	29/04/2024 12:32:29 p. m. 	0:14:29	7.7 km	32 kph	

Header	Position	Time	Altitude	Depth	Temperature	Leg Length	Leg Time	Leg Speed	Leg Course
Trackpoint	N6 15.723 W75 34.478	29/04/2024 12:33:16 p. m. 	1469 m			12 m	0:00:01	43 kph	147° true
Trackpoint	N6 15.718 W75 34.475	29/04/2024 12:33:17 p. m. 	1470 m			12 m	0:00:01	43 kph	145° true
Trackpoint	N6 15.713 W75 34.471	29/04/2024 12:33:18 p. m. 	1470 m			12 m	0:00:01	42 kph	146° true
Trackpoint	N6 15.708 W75 34.467	29/04/2024 12:33:19 p. m. 	1470 m			12 m	0:00:01	43 kph	143° true
Trackpoint	N6 15.703 W75 34.463	29/04/2024 12:33:20 p. m. 	1471 m			12 m	0:00:01	42 kph	141° true
Trackpoint	N6 15.698 W75 34.459	29/04/2024 12:33:21 p. m. 	1471 m			11 m	0:00:01	41 kph	141° true
Trackpoint	N6 15.693 W75 34.456	29/04/2024 12:33:22 p. m. 	1472 m			12 m	0:00:01	42 kph	144° true
Trackpoint	N6 15.687 W75 34.452	29/04/2024 12:33:23 p. m. 	1472 m			12 m	0:00:01	43 kph	145° true
Trackpoint	N6 15.682 W75 34.448	29/04/2024 12:33:24 p. m. 	1472 m			12 m	0:00:01	44 kph	142° true
Trackpoint	N6 15.677 W75 34.444	29/04/2024 12:33:25 p. m. 	1473 m			12 m	0:00:01	43 kph	143° true
Trackpoint	N6 15.672 W75 34.440	29/04/2024 12:33:26 p. m. 	1473 m			12 m	0:00:01	43 kph	142° true
Trackpoint	N6 15.667 W75 34.436	29/04/2024 12:33:27 p. m. 	1473 m			12 m	0:00:01	45 kph	142° true
Trackpoint	N6 15.661 W75 34.432	29/04/2024 12:33:28 p. m. 	1474 m			13 m	0:00:01	46 kph	143° true
Trackpoint	N6 15.656 W75 34.428	29/04/2024 12:33:29 p. m. 	1474 m			13 m	0:00:01	46 kph	143° true
Trackpoint	N6 15.650 W75 34.423	29/04/2024 12:33:30 p. m. 	1474 m			13 m	0:00:01	46 kph	142° true
Trackpoint	N6 15.645 W75 34.419	29/04/2024 12:33:31 p. m. 	1474 m			13 m	0:00:01	48 kph	142° true
Trackpoint	N6 15.639 W75 34.415	29/04/2024 12:33:32 p. m. 	1474 m			13 m	0:00:01	48 kph	142° true
Trackpoint	N6 15.633 W75 34.411	29/04/2024 12:33:33 p. m. 	1474 m			13 m	0:00:01	48 kph	145° true
Trackpoint	N6 15.627 W75 34.406	29/04/2024 12:33:34 p. m. 	1474 m			13 m	0:00:01	47 kph	144° true
Trackpoint	N6 15.622 W75 34.402	29/04/2024 12:33:35 p. m. 	1474 m			13 m	0:00:01	47 kph	144° true
Trackpoint	N6 15.616 W75 34.398	29/04/2024 12:33:36 p. m. 	1474 m			13 m	0:00:01	46 kph	144° true
Trackpoint	N6 15.611 W75 34.394	29/04/2024 12:33:37 p. m. 	1475 m			13 m	0:00:01	46 kph	145° true
Trackpoint	N6 15.605 W75 34.390	29/04/2024 12:33:38 p. m. 	1475 m			12 m	0:00:01	45 kph	144° true
Trackpoint	N6 15.600 W75 34.386	29/04/2024 12:33:39 p. m. 	1475 m			12 m	0:00:01	45 kph	146° true
Trackpoint	N6 15.595 W75 34.382	29/04/2024 12:33:40 p. m. 	1475 m			12 m	0:00:01	43 kph	143° true
Trackpoint	N6 15.589 W75 34.379	29/04/2024 12:33:41 p. m. 	1475 m			12 m	0:00:01	44 kph	147° true
Trackpoint	N6 15.584 W75 34.375	29/04/2024 12:33:42 p. m. 	1475 m			12 m	0:00:01	45 kph	141° true
Trackpoint	N6 15.578 W75 34.371	29/04/2024 12:33:43 p. m. 	1474 m			13 m	0:00:01	45 kph	149° true
Trackpoint	N6 15.572 W75 34.367	29/04/2024 12:33:44 p. m. 	1474 m			13 m	0:00:01	45 kph	145° true
Trackpoint	N6 15.567 W75 34.363	29/04/2024 12:33:45 p. m. 	1473 m			12 m	0:00:01	45 kph	144° true
Trackpoint	N6 15.561 W75 34.360	29/04/2024 12:33:46 p. m. 	1473 m			12 m	0:00:01	44 kph	147° true
Trackpoint	N6 15.555 W75 34.357	29/04/2024 12:33:47 p. m. 	1472 m			13 m	0:00:01	45 kph	154° true
Trackpoint	N6 15.549 W75 34.353	29/04/2024 12:33:48 p. m. 	1472 m			13 m	0:00:01	45 kph	152° true
Trackpoint	N6 15.543 W75 34.350	29/04/2024 12:33:49 p. m. 	1471 m			12 m	0:00:01	45 kph	152° true
Trackpoint	N6 15.537 W75 34.347	29/04/2024 12:33:50 p. m. 	1471 m			12 m	0:00:01	44 kph	154° true
Trackpoint	N6 15.525 W75 34.343	29/04/2024 12:33:51 p. m. 	1470 m			24 m	0:00:01	85 kph	162° true
Trackpoint	N6 15.519 W75 34.342	29/04/2024 12:33:52 p. m. 	1470 m			12 m	0:00:01	42 kph	167° true
Trackpoint	N6 15.513 W75 34.340	29/04/2024 12:33:53 p. m. 	1470 m			11 m	0:00:01	40 kph	165° true
Trackpoint	N6 15.508 W75 34.339	29/04/2024 12:33:54 p. m. 	1470 m			10 m	0:00:01	37 kph	166° true
Trackpoint	N6 15.503 W75 34.338	29/04/2024 12:33:55 p. m. 	1470 m			9 m	0:00:01	34 kph	166° true
Trackpoint	N6 15.499 W75 34.336	29/04/2024 12:33:56 p. m. 	1469 m			8 m	0:00:01	30 kph	165° true
Trackpoint	N6 15.495 W75 34.336	29/04/2024 12:33:57 p. m. 	1468 m			8 m	0:00:01	28 kph	168° true
Trackpoint	N6 15.491 W75 34.335	29/04/2024 12:33:58 p. m. 	1467 m			8 m	0:00:01	28 kph	176° true
Trackpoint	N6 15.486 W75 34.336	29/04/2024 12:33:59 p. m. 	1466 m			8 m	0:00:01	28 kph	183° true
Trackpoint	N6 15.483 W75 34.336	29/04/2024 12:34:00 p. m. 	1465 m			6 m	0:00:01	21 kph	194° true
Trackpoint	N6 15.482 W75 34.337	29/04/2024 12:34:01 p. m. 	1465 m			3 m	0:00:01	12 kph	201° true
Trackpoint	N6 15.480 W75 34.338	29/04/2024 12:34:02 p. m. 	1464 m			3 m	0:00:01	10 kph	201° true
Trackpoint	N6 15.480 W75 34.338	29/04/2024 12:34:03 p. m. 	1464 m			1 m	0:00:01	4 kph	180° true
Trackpoint	N6 15.479 W75 34.338	29/04/2024 12:34:04 p. m. 	1464 m			1 m	0:00:01	4 kph	186° true
Trackpoint	N6 15.478 W75 34.338	29/04/2024 12:34:05 p. m. 	1464 m			1 m	0:00:01	4 kph	186° true
Trackpoint	N6 15.478 W75 34.338	29/04/2024 12:34:06 p. m. 	1464 m			1 m	0:00:01	4 kph	180° true
Trackpoint	N6 15.477 W75 34.338	29/04/2024 12:34:07 p. m. 	1464 m			1 m	0:00:01	4 kph	185° true
Trackpoint	N6 15.476 W75 34.338	29/04/2024 12:34:08 p. m. 	1464 m			1 m	0:00:01	4 kph	186° true
Trackpoint	N6 15.476 W75 34.338	29/04/2024 12:34:09 p. m. 	1463 m			1 m	0:00:01	4 kph	180° true
Trackpoint	N6 15.475 W75 34.338	29/04/2024 12:34:10 p. m. 	1463 m			1 m	0:00:01	4 kph	185° true
Trackpoint	N6 15.475 W75 34.338	29/04/2024 12:34:11 p. m. 	1463 m			1 m	0:00:01	4 kph	186° true
Trackpoint	N6 15.474 W75 34.338	29/04/2024 12:34:12 p. m. 	1463 m			1 m	0:00:01	4 kph	180° true
Trackpoint	N6 15.473 W75 34.338	29/04/2024 12:34:25 p. m. 	1463 m			1 m	0:00:13	0.3 kph	185° true
Trackpoint	N6 15.473 W75 34.338	29/04/2024 12:34:26 p. m. 	1463 m			1 m	0:00:01	4 kph	180° true
Trackpoint	N6 15.469 W75 34.339	29/04/2024 12:34:27 p. m. 	1464 m			8 m	0:00:01	28 kph	192° true
Trackpoint	N6 15.464 W75 34.340	29/04/2024 12:34:28 p. m. 	1464 m			8 m	0:00:01	30 kph	189° true
Trackpoint	N6 15.460 W75 34.341	29/04/2024 12:34:29 p. m. 	1465 m			9 m	0:00:01	33 kph	202° true
Trackpoint	N6 15.455 W75 34.344	29/04/2024 12:34:30 p. m. 	1466 m			10 m	0:00:01	34 kph	205° true
Trackpoint	N6 15.450 W75 34.346	29/04/2024 12:34:31 p. m. 	1466 m			10 m	0:00:01	37 kph	201° true
Trackpoint	N6 15.444 W75 34.347	29/04/2024 12:34:32 p. m. 	1467 m			11 m	0:00:01	40 kph	195° true
Trackpoint	N6 15.438 W75 34.349	29/04/2024 12:34:33 p. m. 	1467 m			12 m	0:00:01	43 kph	194° true
Trackpoint	N6 15.432 W75 34.351	29/04/2024 12:34:34 p. m. 	1468 m			11 m	0:00:01	41 kph	200° true
Trackpoint	N6 15.427 W75 34.353	29/04/2024 12:34:35 p. m. 	1469 m			10 m	0:00:01	36 kph	203° true
Trackpoint	N6 15.423 W75 34.355	29/04/2024 12:34:36 p. m. 	1469 m			8 m	0:00:01	29 kph	208° true
Trackpoint	N6 15.420 W75 34.357	29/04/2024 12:34:37 p. m. 	1469 m			7 m	0:00:01	24 kph	210° true
Trackpoint	N6 15.418 W75 34.358	29/04/2024 12:34:38 p. m. 	1470 m			5 m	0:00:01	18 kph	209° true
Trackpoint	N6 15.416 W75 34.359	29/04/2024 12:34:39 p. m. 	1470 m			3 m	0:00:01	12 kph	199° true
Trackpoint	N6 15.415 W75 34.359	29/04/2024 12:34:40 p. m. 	1470 m			2 m	0:00:01	9 kph	196° true
Trackpoint	N6 15.414 W75 34.360	29/04/2024 12:34:41 p. m. 	1470 m			2 m	0:00:01	6 kph	239° true
Trackpoint	N6 15.414 W75 34.360	29/04/2024 12:34:42 p. m. 	1470 m			1 m	0:00:01	4 kph	257° true
Trackpoint	N6 15.414 W75 34.361	29/04/2024 12:34:43 p. m. 	1470 m			1 m	0:00:01	3 kph	247° true
Trackpoint	N6 15.414 W75 34.361	29/04/2024 12:34:44 p. m. 	1470 m			1 m	0:00:01	4 kph	243° true
Trackpoint	N6 15.413 W75 34.363	29/04/2024 12:34:45 p. m. 	1470 m			4 m	0:00:01	14 kph	246° true
Trackpoint	N6 15.412 W75 34.364	29/04/2024 12:34:46 p. m. 	1470 m			2 m	0:00:01	6 kph	219° true
Trackpoint	N6 15.411 W75 34.366	29/04/2024 12:34:47 p. m. 	1470 m			5 m	0:00:01	17 kph	243° true
Trackpoint	N6 15.409 W75 34.367	29/04/2024 12:34:48 p. m. 	1470 m			4 m	0:00:01	16 kph	211° true
Trackpoint	N6 15.408 W75 34.368	29/04/2024 12:34:49 p. m. 	1471 m			4 m	0:00:01	13 kph	215° true
Trackpoint	N6 15.406 W75 34.369	29/04/2024 12:34:50 p. m. 	1471 m			4 m	0:00:01	13 kph	210° true
Trackpoint	N6 15.405 W75 34.370	29/04/2024 12:34:51 p. m. 	1471 m			1 m	0:00:01	5 kph	241° true
Trackpoint	N6 15.404 W75 34.371	29/04/2024 12:34:52 p. m. 	1471 m			3 m	0:00:01	12 kph	209° true
Trackpoint	N6 15.402 W75 34.372	29/04/2024 12:34:53 p. m. 	1471 m			4 m	0:00:01	15 kph	205° true
Trackpoint	N6 15.400 W75 34.374	29/04/2024 12:34:54 p. m. 	1471 m			6 m	0:00:01	20 kph	220° true
Trackpoint	N6 15.397 W75 34.377	29/04/2024 12:34:55 p. m. 	1471 m			7 m	0:00:01	26 kph	224° true
Trackpoint	N6 15.394 W75 34.380	29/04/2024 12:34:56 p. m. 	1470 m			8 m	0:00:01	30 kph	224° true
Trackpoint	N6 15.390 W75 34.383	29/04/2024 12:34:57 p. m. 	1470 m			9 m	0:00:01	34 kph	228° true
Trackpoint	N6 15.386 W75 34.387	29/04/2024 12:34:58 p. m. 	1470 m			10 m	0:00:01	36 kph	223° true
Trackpoint	N6 15.382 W75 34.391	29/04/2024 12:34:59 p. m. 	1470 m			10 m	0:00:01	37 kph	220° true
Trackpoint	N6 15.378 W75 34.395	29/04/2024 12:35:00 p. m. 	1470 m			11 m	0:00:01	38 kph	227° true
Trackpoint	N6 15.374 W75 34.399	29/04/2024 12:35:01 p. m. 	1470 m			11 m	0:00:01	41 kph	225° true
Trackpoint	N6 15.370 W75 34.404	29/04/2024 12:35:02 p. m. 	1470 m			11 m	0:00:01	39 kph	227° true
Trackpoint	N6 15.366 W75 34.409	29/04/2024 12:35:03 p. m. 	1470 m			11 m	0:00:01	38 kph	235° true
Trackpoint	N6 15.362 W75 34.411	29/04/2024 12:35:04 p. m. 	1470 m			10 m	0:00:01	37 kph	212° true
Trackpoint	N6 15.357 W75 34.415	29/04/2024 12:35:05 p. m. 	1470 m			10 m	0:00:01	37 kph	218° true
Trackpoint	N6 15.353 W75 34.418	29/04/2024 12:35:06 p. m. 	1470 m			10 m	0:00:01	37 kph	218° true
Trackpoint	N6 15.349 W75 34.422	29/04/2024 12:35:07 p. m. 	1470 m			10 m	0:00:01	36 kph	224° true
Trackpoint	N6 15.345 W75 34.426	29/04/2024 12:35:08 p. m. 	1470 m			10 m	0:00:01	36 kph	223° true
Trackpoint	N6 15.341 W75 34.430	29/04/2024 12:35:09 p. m. 	1470 m			10 m	0:00:01	36 kph	223° true
Trackpoint	N6 15.337 W75 34.434	29/04/2024 12:35:10 p. m. 	1470 m			11 m	0:00:01	39 kph	223° true
Trackpoint	N6 15.332 W75 34.438	29/04/2024 12:35:11 p. m. 	1470 m			11 m	0:00:01	41 kph	220° true
Trackpoint	N6 15.327 W75 34.442	29/04/2024 12:35:12 p. m. 	1470 m			12 m	0:00:01	43 kph	220° true
Trackpoint	N6 15.323 W75 34.446	29/04/2024 12:35:13 p. m. 	1470 m			12 m	0:00:01	43 kph	223° true
Trackpoint	N6 15.318 W75 34.451	29/04/2024 12:35:14 p. m. 	1470 m			12 m	0:00:01	44 kph	221° true
Trackpoint	N6 15.313 W75 34.455	29/04/2024 12:35:15 p. m. 	1470 m			13 m	0:00:01	45 kph	223° true
Trackpoint	N6 15.308 W75 34.460	29/04/2024 12:35:16 p. m. 	1470 m			13 m	0:00:01	45 kph	223° true
Trackpoint	N6 15.303 W75 34.464	29/04/2024 12:35:17 p. m. 	1471 m			12 m	0:00:01	44 kph	222° true
Trackpoint	N6 15.298 W75 34.469	29/04/2024 12:35:18 p. m. 	1471 m			13 m	0:00:01	46 kph	225° true
Trackpoint	N6 15.293 W75 34.474	29/04/2024 12:35:19 p. m. 	1471 m			12 m	0:00:01	45 kph	225° true
Trackpoint	N6 15.288 W75 34.478	29/04/2024 12:35:20 p. m. 	1471 m			12 m	0:00:01	44 kph	222° true
Trackpoint	N6 15.283 W75 34.482	29/04/2024 12:35:21 p. m. 	1471 m			13 m	0:00:01	45 kph	215° true
Trackpoint	N6 15.277 W75 34.486	29/04/2024 12:35:22 p. m. 	1471 m			13 m	0:00:01	47 kph	212° true
Trackpoint	N6 15.270 W75 34.489	29/04/2024 12:35:23 p. m. 	1471 m			13 m	0:00:01	46 kph	204° true
Trackpoint	N6 15.264 W75 34.492	29/04/2024 12:35:24 p. m. 	1471 m			13 m	0:00:01	46 kph	206° true
Trackpoint	N6 15.258 W75 34.495	29/04/2024 12:35:25 p. m. 	1471 m			13 m	0:00:01	47 kph	203° true
Trackpoint	N6 15.251 W75 34.496	29/04/2024 12:35:26 p. m. 	1471 m			13 m	0:00:01	46 kph	195° true
Trackpoint	N6 15.244 W75 34.498	29/04/2024 12:35:27 p. m. 	1471 m			13 m	0:00:01	47 kph	191° true
Trackpoint	N6 15.237 W75 34.499	29/04/2024 12:35:28 p. m. 	1471 m			13 m	0:00:01	48 kph	187° true
Trackpoint	N6 15.230 W75 34.499	29/04/2024 12:35:29 p. m. 	1470 m			14 m	0:00:01	49 kph	184° true
Trackpoint	N6 15.222 W75 34.500	29/04/2024 12:35:30 p. m. 	1470 m			14 m	0:00:01	50 kph	185° true
Trackpoint	N6 15.214 W75 34.500	29/04/2024 12:35:31 p. m. 	1470 m			15 m	0:00:01	53 kph	185° true
Trackpoint	N6 15.206 W75 34.501	29/04/2024 12:35:32 p. m. 	1470 m			14 m	0:00:01	52 kph	183° true
Trackpoint	N6 15.199 W75 34.502	29/04/2024 12:35:33 p. m. 	1470 m			14 m	0:00:01	50 kph	186° true
Trackpoint	N6 15.192 W75 34.502	29/04/2024 12:35:34 p. m. 	1470 m			14 m	0:00:01	49 kph	182° true
Trackpoint	N6 15.184 W75 34.502	29/04/2024 12:35:35 p. m. 	1470 m			13 m	0:00:01	48 kph	185° true
Trackpoint	N6 15.177 W75 34.503	29/04/2024 12:35:36 p. m. 	1470 m			13 m	0:00:01	48 kph	182° true
Trackpoint	N6 15.170 W75 34.503	29/04/2024 12:35:37 p. m. 	1470 m			13 m	0:00:01	48 kph	178° true
Trackpoint	N6 15.163 W75 34.503	29/04/2024 12:35:38 p. m. 	1471 m			13 m	0:00:01	46 kph	180° true
Trackpoint	N6 15.156 W75 34.503	29/04/2024 12:35:39 p. m. 	1471 m			13 m	0:00:01	46 kph	180° true
