Number;Header;Position;Time;Altitude;Leg Length;Leg Time;Leg Speed;Leg Course
56;Trackpoint;N6 15.677 W75 34.444;29/04/2024 12:33;1473;12;0:00:01;43 kph;143ｰ true
57;Trackpoint;N6 15.672 W75 34.440;29/04/2024 12:33;1473;12;0:00:01;43 kph;142ｰ true
58;Trackpoint;N6 15.667 W75 34.436;29/04/2024 12:33;1473;12;0:00:01;45 kph;142ｰ true
59;Trackpoint;N6 15.661 W75 34.432;29/04/2024 12:33;1474;13;0:00:01;46 kph;143ｰ true
60;Trackpoint;N6 15.656 W75 34.428;29/04/2024 12:33;1474;13;0:00:01;46 kph;143ｰ true
61;Trackpoint;N6 15.650 W75 34.423;29/04/2024 12:33;1474;13;0:00:01;46 kph;142ｰ true
62;Trackpoint;N6 15.645 W75 34.419;29/04/2024 12:33;1474;13;0:00:01;48 kph;142ｰ true
63;Trackpoint;N6 15.639 W75 34.415;29/04/2024 12:33;1474;13;0:00:01;48 kph;142ｰ true
64;Trackpoint;N6 15.633 W75 34.411;29/04/2024 12:33;1474;13;0:00:01;48 kph;145ｰ true
65;Trackpoint;N6 15.627 W75 34.406;29/04/2024 12:33;1474;13;0:00:01;47 kph;144ｰ true
66;Trackpoint;N6 15.622 W75 34.402;29/04/2024 12:33;1474;13;0:00:01;47 kph;144ｰ true
67;Trackpoint;N6 15.616 W75 34.398;29/04/2024 12:33;1474;13;0:00:01;46 kph;144ｰ true
68;Trackpoint;N6 15.611 W75 34.394;29/04/2024 12:33;1475;13;0:00:01;46 kph;145ｰ true
69;Trackpoint;N6 15.605 W75 34.390;29/04/2024 12:33;1475;12;0:00:01;45 kph;144ｰ true
70;Trackpoint;N6 15.600 W75 34.386;29/04/2024 12:33;1475;12;0:00:01;45 kph;146ｰ true
71;Trackpoint;N6 15.595 W75 34.382;29/04/2024 12:33;1475;12;0:00:01;43 kph;143ｰ true
72;Trackpoint;N6 15.589 W75 34.379;29/04/2024 12:33;1475;12;0:00:01;44 kph;147ｰ true
73;Trackpoint;N6 15.584 W75 34.375;29/04/2024 12:33;1475;12;0:00:01;45 kph;141ｰ true
74;Trackpoint;N6 15.578 W75 34.371;29/04/2024 12:33;1474;13;0:00:01;45 kph;149ｰ true
75;Trackpoint;N6 15.572 W75 34.367;29/04/2024 12:33;1474;13;0:00:01;45 kph;145ｰ true
76;Trackpoint;N6 15.567 W75 34.363;29/04/2024 12:33;1473;12;0:00:01;45 kph;144ｰ true
77;Trackpoint;N6 15.561 W75 34.360;29/04/2024 12:33;1473;12;0:00:01;44 kph;147ｰ true
78;Trackpoint;N6 15.555 W75 34.357;29/04/2024 12:33;1472;13;0:00:01;45 kph;154ｰ true
79;Trackpoint;N6 15.549 W75 34.353;29/04/2024 12:33;1472;13;0:00:01;45 kph;152ｰ true
80;Trackpoint;N6 15.543 W75 34.350;29/04/2024 12:33;1471;12;0:00:01;45 kph;152ｰ true
81;Trackpoint;N6 15.537 W75 34.347;29/04/2024 12:33;1471;12;0:00:01;44 kph;154ｰ true
82;Trackpoint;N6 15.525 W75 34.343;29/04/2024 12:33;1470;24;0:00:01;85 kph;162ｰ true
83;Trackpoint;N6 15.519 W75 34.342;29/04/2024 12:33;1470;12;0:00:01;42 kph;167ｰ true
84;Trackpoint;N6 15.513 W75 34.340;29/04/2024 12:33;1470;11;0:00:01;40 kph;165ｰ true
85;Trackpoint;N6 15.508 W75 34.339;29/04/2024 12:33;1470;10;0:00:01;37 kph;166ｰ true
86;Trackpoint;N6 15.503 W75 34.338;29/04/2024 12:33;1470;9;0:00:01;34 kph;166ｰ true
87;Trackpoint;N6 15.499 W75 34.336;29/04/2024 12:33;1469;8;0:00:01;30 kph;165ｰ true
88;Trackpoint;N6 15.495 W75 34.336;29/04/2024 12:33;1468;8;0:00:01;28 kph;168ｰ true
89;Trackpoint;N6 15.491 W75 34.335;29/04/2024 12:33;1467;8;0:00:01;28 kph;176ｰ true
90;Trackpoint;N6 15.486 W75 34.336;29/04/2024 12:33;1466;8;0:00:01;28 kph;183ｰ true
91;Trackpoint;N6 15.483 W75 34.336;29/04/2024 12:34;1465;6;0:00:01;21 kph;194ｰ true
92;Trackpoint;N6 15.482 W75 34.337;29/04/2024 12:34;1465;3;0:00:01;12 kph;201ｰ true
93;Trackpoint;N6 15.480 W75 34.338;29/04/2024 12:34;1464;3;0:00:01;10 kph;201ｰ true
94;Trackpoint;N6 15.480 W75 34.338;29/04/2024 12:34;1464;1;0:00:01;4 kph;180ｰ true
95;Trackpoint;N6 15.479 W75 34.338;29/04/2024 12:34;1464;1;0:00:01;4 kph;186ｰ true
96;Trackpoint;N6 15.478 W75 34.338;29/04/2024 12:34;1464;1;0:00:01;4 kph;186ｰ true
97;Trackpoint;N6 15.478 W75 34.338;29/04/2024 12:34;1464;1;0:00:01;4 kph;180ｰ true
98;Trackpoint;N6 15.477 W75 34.338;29/04/2024 12:34;1464;1;0:00:01;4 kph;185ｰ true
99;Trackpoint;N6 15.476 W75 34.338;29/04/2024 12:34;1464;1;0:00:01;4 kph;186ｰ true
100;Trackpoint;N6 15.476 W75 34.338;29/04/2024 12:34;1463;1;0:00:01;4 kph;180ｰ true
101;Trackpoint;N6 15.475 W75 34.338;29/04/2024 12:34;1463;1;0:00:01;4 kph;185ｰ true
102;Trackpoint;N6 15.475 W75 34.338;29/04/2024 12:34;1463;1;0:00:01;4 kph;186ｰ true
103;Trackpoint;N6 15.474 W75 34.338;29/04/2024 12:34;1463;1;0:00:01;4 kph;180ｰ true
104;Trackpoint;N6 15.473 W75 34.338;29/04/2024 12:34;1463;1;0:00:13;0.3 kph;185ｰ true
105;Trackpoint;N6 15.473 W75 34.338;29/04/2024 12:34;1463;1;0:00:01;4 kph;180ｰ true
106;Trackpoint;N6 15.469 W75 34.339;29/04/2024 12:34;1464;8;0:00:01;28 kph;192ｰ true
107;Trackpoint;N6 15.464 W75 34.340;29/04/2024 12:34;1464;8;0:00:01;30 kph;189ｰ true
108;Trackpoint;N6 15.460 W75 34.341;29/04/2024 12:34;1465;9;0:00:01;33 kph;202ｰ true
